,X1,Provider Name,DBA Name,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
1361,1361,"HNS License Sub, LLC",HughesNet,WY,560319594002148,60,1,25,3,1
1362,1362,"Interior Telephone Company, Inc.",Interior Telephone Company,AK,020130001001259,10,1,1,0.512,1
1363,1363,GCI Communication Corp.,GCI Communication Corp.,PA,420512604021000,60,0,0,0,1
1364,1364,"Clear Rate Communications, Inc.","Clear Rate Communications, Inc.",MI,261251570002003,11,1,40,1,1
1365,1365,"ViaSat, Inc.",Viasat Inc,AZ,040134226102033,60,1,100,3,1
1366,1366,GCI Communication Corp.,GCI Communication Corp.,IA,191670707004009,60,0,0,0,1
1367,1367,"ViaSat, Inc.",Viasat Inc,PA,420350302002065,60,1,35,3,1
1368,1368,"ViaSat, Inc.",Viasat Inc,NC,370210027021007,60,1,100,3,1
1369,1369,Crown Castle Fiber LLC,Crown Castle Fiber,CT,090093442001034,50,0,0,0,1
1370,1370,"VSAT Systems, LLC",Skycasters,GA,131850113012001,60,1,2,1.3,1
1371,1371,"FDF Communications Co., dba BPS Networks",FDF Communications Company,MO,291339504002021,70,1,10,2,1
1372,1372,"HNS License Sub, LLC",HughesNet,CA,060350403042017,60,1,25,3,1
1373,1373,"HNS License Sub, LLC",HughesNet,OH,391559333022001,60,1,25,3,1
1374,1374,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,NE,311439600001199,70,1,2,2,0
1375,1375,"ViaSat, Inc.",Viasat Inc,IA,190990406003026,60,1,100,3,1
1376,1376,GCI Communication Corp.,GCI Communication Corp.,NJ,340410318003026,60,0,0,0,1
1377,1377,"ViaSat, Inc.",Viasat Inc,IA,191154501003038,60,1,35,3,1
1378,1378,"HNS License Sub, LLC",HughesNet,IA,191279509003010,60,1,25,3,1
1379,1379,GCI Communication Corp.,GCI Communication Corp.,AR,050674803004033,60,0,0,0,1
1380,1380,"HNS License Sub, LLC",HughesNet,KY,210590012003015,60,1,25,3,1
1381,1381,"ViaSat, Inc.",Viasat Inc,IN,181359514002101,60,1,35,3,1
1382,1382,Frontier Communications Corporation,Frontier Communications Corporation,MI,261419504002010,12,1,70,3,1
1383,1383,"ViaSat, Inc.",Viasat Inc,MO,291138104004015,60,1,35,3,1
1384,1384,Verizon New Jersey Inc.,Verizon New Jersey Inc.,NJ,340297157002023,10,1,5,0.768,1
1385,1385,"ViaSat, Inc.",Viasat Inc,PA,420912040022006,60,1,35,3,1
1386,1386,bloosurf,bloosurf,MD,240479504002023,70,1,25,4,1
1387,1387,"BellSouth Telecommunications, Inc.",AT&T Mississippi,MS,280470031013004,12,1,75,20,0
1388,1388,"XO Communications Services, LLC",XO Communications,CA,060730170321002,30,0,0,0,1
1389,1389,"CenturyLink, Inc.",CenturyLink,MI,261139604002018,12,1,1.5,0.512,1
1390,1390,"VSAT Systems, LLC",Skycasters,VT,500219640002014,60,1,2,1.3,1
